,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
1101,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsImplementing Linear Models for Image Classification",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381959,"Deep Neural Network,Image Classification,Normalization",15.0 minutes
1102,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsLab Introduction - Classifying Images with a Linear Model",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381960,"Deep Neural Network,Image Classification,Normalization",1.0 minutes
1103,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network models Classifying Images with a Linear Model",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/labs/381961,"Deep Neural Network,Image Classification,Normalization",90.0 minutes
1104,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsNeural Networks and Deep Neural Networks for Image Classification",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381962,"Deep Neural Network,Image Classification,Normalization",8.0 minutes
1105,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsLab Introduction - Classifying Images with a NN and DNN Model",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381963,"Deep Neural Network,Image Classification,Normalization",1.0 minutes
1106,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network models Classifying Images with a NN and DNN Model",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/labs/381964,"Deep Neural Network,Image Classification,Normalization",135.0 minutes
1107,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsDeep Neural Networks with Dropout and Batch Normalization",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381965,"Deep Neural Network,Image Classification,Normalization",7.0 minutes
1108,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsLab Introduction - Classifying Images using Dropout and Batchnorm Layer",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381966,"Deep Neural Network,Image Classification,Normalization",1.0 minutes
1109,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsClassifying Images using Dropout and Batchnorm Layer",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/labs/381967,"Deep Neural Network,Image Classification,Normalization",90.0 minutes
1110,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsReadings",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/documents/381968,"Deep Neural Network,Image Classification,Normalization",2.0 minutes
1111,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,"Custom Training with Linear, Neural Network and Deep Neural Network modelsQuiz",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/quizzes/381969,"Deep Neural Network,Image Classification,Normalization",10.0 minutes
1112,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural Networks,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381970,"CNN,Vertex AI,Tensorflow",141.0 minutes
1113,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381970,"CNN,Vertex AI,Tensorflow",1.0 minutes
1114,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksConvolutional Neural Networks,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381971,"CNN,Vertex AI,Tensorflow",7.0 minutes
1115,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksUnderstanding Convolutions,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381972,"CNN,Vertex AI,Tensorflow",11.0 minutes
1116,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksCNN Model Parameters,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381973,"CNN,Vertex AI,Tensorflow",11.0 minutes
1117,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksWorking with Pooling Layers,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381974,"CNN,Vertex AI,Tensorflow",4.0 minutes
1118,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksImplementing CNNs on Vertex AI with pre-built TF container using Vertex Workbench,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381975,"CNN,Vertex AI,Tensorflow",4.0 minutes
1119,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksLab Introduction - Classifying Images with pre-built TF Container on Vertex AI,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381976,"CNN,Vertex AI,Tensorflow",1.0 minutes
1120,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural Networks Classifying Images with pre-built TF Container on Vertex AI,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/labs/381977,"CNN,Vertex AI,Tensorflow",90.0 minutes
1121,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksReadings,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/documents/381978,"CNN,Vertex AI,Tensorflow",2.0 minutes
1122,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Convolutional Neural NetworksQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/quizzes/381979,"CNN,Vertex AI,Tensorflow",10.0 minutes
1123,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image Data,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381980,"CV,Image data,Transfer learning,Data Augmentation",222.0 minutes
1124,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381980,"CV,Image data,Transfer learning,Data Augmentation",1.0 minutes
1125,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataPreprocessing the Image Data,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381981,"CV,Image data,Transfer learning,Data Augmentation",6.0 minutes
1126,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataModel Parameters and the Data Scarcity Problem,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381982,"CV,Image data,Transfer learning,Data Augmentation",4.0 minutes
1127,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataData Augmentation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381983,"CV,Image data,Transfer learning,Data Augmentation",7.0 minutes
1128,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataLab Introduction - Classifying Images using Data Augmentation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381984,"CV,Image data,Transfer learning,Data Augmentation",1.0 minutes
1129,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image Data Classifying Images using Data Augmentation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/labs/381985,"CV,Image data,Transfer learning,Data Augmentation",90.0 minutes
1130,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataTransfer Learning,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381986,"CV,Image data,Transfer learning,Data Augmentation",6.0 minutes
1131,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataLab Introduction - Classifying Images with Transfer Learning,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381987,"CV,Image data,Transfer learning,Data Augmentation",1.0 minutes
1132,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image Data Classifying Images with Transfer Learning,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/labs/381988,"CV,Image data,Transfer learning,Data Augmentation",90.0 minutes
1133,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataReadings,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/documents/381989,"CV,Image data,Transfer learning,Data Augmentation",10.0 minutes
1134,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Dealing with Image DataQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/quizzes/381990,"CV,Image data,Transfer learning,Data Augmentation",2.0 minutes
1135,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Summary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304490/video/381991,"CV,Image data,Transfer learning,Data Augmentation",4.0 minutes
1136,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Natural Language Processing on Google Cloud,Medium to Hard,https://www.cloudskillsboost.google/course_templates/40,"Machine Learning,NLP,Cloud,Dialogflow API",12.0 hours
1137,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Course Introduction: Meet the Author,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363184,"Machine Learning,NLP,Cloud,Dialogflow API",1.0 minutes
1138,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Course Introduction: Introduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363185,"Machine Learning,NLP,Cloud,Dialogflow API",6.0 minutes
1139,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Course Introduction: Reading List,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/documents/363186,"Machine Learning,NLP,Cloud,Dialogflow API",2.0 minutes
1140,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google Cloud,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363187,"Machine Learning,NLP,Cloud,Dialogflow API",164.0 minutes
1141,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363187,"Machine Learning,NLP,Cloud,Dialogflow API",1.0 minutes
1142,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudWhat is NLP?,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363188,"Machine Learning,NLP,Cloud,Dialogflow API",4.0 minutes
1143,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudNLP history,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363189,"Machine Learning,NLP,Cloud,Dialogflow API",3.0 minutes
1144,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudNLP architecture,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363190,"Machine Learning,NLP,Cloud,Dialogflow API",3.0 minutes
1145,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudNLP APIs,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363191,"Machine Learning,NLP,Cloud,Dialogflow API",9.0 minutes
1146,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudNLP solutions,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363192,"Machine Learning,NLP,Cloud,Dialogflow API",8.0 minutes
1147,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudLab introduction: Exploring the Dialogflow API,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363193,"Machine Learning,NLP,Cloud,Dialogflow API",1.0 minutes
1148,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudExploring the Dialogflow API,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/labs/363194,"Machine Learning,NLP,Cloud,Dialogflow API",120.0 minutes
1149,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudSummary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363195,"Machine Learning,NLP,Cloud,Dialogflow API",3.0 minutes
1150,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/quizzes/363196,"Machine Learning,NLP,Cloud,Dialogflow API",10.0 minutes
1151,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP on Google CloudReading list,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/documents/363197,"Machine Learning,NLP,Cloud,Dialogflow API",2.0 minutes
1152,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AI,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363198,"Vertex AI,NLP,AutoML,Text classification",180.0 minutes
1153,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AIIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363198,"Vertex AI,NLP,AutoML,Text classification",1.0 minutes
1154,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AINLP options,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363199,"Vertex AI,NLP,AutoML,Text classification",3.0 minutes
1155,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AIVertex AI,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363200,"Vertex AI,NLP,AutoML,Text classification",4.0 minutes
1156,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AINLP with AutoML,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363201,"Vertex AI,NLP,AutoML,Text classification",4.0 minutes
1157,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AINLP with custom training,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363202,"Vertex AI,NLP,AutoML,Text classification",1.0 minutes
1158,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AINLP end-to-end workflow,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363203,"Vertex AI,NLP,AutoML,Text classification",4.0 minutes
1159,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AILab introduction: Text Classification with AutoML,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363204,"Vertex AI,NLP,AutoML,Text classification",1.0 minutes
1160,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AIText Classification using AutoML,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/labs/363205,"Vertex AI,NLP,AutoML,Text classification",150.0 minutes
1161,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AISummary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363206,"Vertex AI,NLP,AutoML,Text classification",1.0 minutes
1162,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AIQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/quizzes/363207,"Vertex AI,NLP,AutoML,Text classification",10.0 minutes
1163,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP with Vertex AIReading list,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/documents/363208,"Vertex AI,NLP,AutoML,Text classification",2.0 minutes
1164,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363209,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",135.0 minutes
1165,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363209,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",1.0 minutes
1166,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationTokenization,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363210,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",6.0 minutes
1167,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationOne-hot encoding and bag-of-words,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363211,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",7.0 minutes
1168,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationWord embeddings,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363212,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",3.0 minutes
1169,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationWord2vec,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363213,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",9.0 minutes
1170,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationTransfer learning and reusable embeddings,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363214,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",3.0 minutes
1171,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationLab introduction: Reusable Embeddings,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363215,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",1.0 minutes
1172,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationText classification using reusable embeddings,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/labs/363216,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",90.0 minutes
1173,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationSummary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363217,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",3.0 minutes
1174,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/quizzes/363218,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",10.0 minutes
1175,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Text representatationReading list,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/documents/363219,"Text representation,Tokeization,Embeddings,Encoder,Word2Vec,TL",2.0 minutes
1176,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP models,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363220,"NLP Models,Neural network,Keras,Classifications",146.0 minutes
1177,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363220,"NLP Models,Neural network,Keras,Classifications",1.0 minutes
1178,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsANN,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363221,"NLP Models,Neural network,Keras,Classifications",10.0 minutes
1179,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsTensorFlow,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363222,"NLP Models,Neural network,Keras,Classifications",6.0 minutes
1180,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsDNN,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363223,"NLP Models,Neural network,Keras,Classifications",6.0 minutes
1181,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsRNN,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363224,"NLP Models,Neural network,Keras,Classifications",6.0 minutes
1182,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsLSTM,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363225,"NLP Models,Neural network,Keras,Classifications",8.0 minutes
1183,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsGRU,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363226,"NLP Models,Neural network,Keras,Classifications",2.0 minutes
1184,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsLab introduction: Text Classification with Keras,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363227,"NLP Models,Neural network,Keras,Classifications",2.0 minutes
1185,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsKeras for Text Classification using Vertex AI,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/labs/363228,"NLP Models,Neural network,Keras,Classifications",90.0 minutes
1186,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsSummary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363229,"NLP Models,Neural network,Keras,Classifications",3.0 minutes
1187,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/quizzes/363230,"NLP Models,Neural network,Keras,Classifications",10.0 minutes
1188,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,NLP modelsReading list,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/documents/363231,"NLP Models,Neural network,Keras,Classifications",2.0 minutes
1189,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP models,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363232,"NLP,Encoder,LLM,Transformer",108.0 minutes
1190,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363232,"NLP,Encoder,LLM,Transformer",1.0 minutes
1191,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsEncoder-decoder architecture,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363233,"NLP,Encoder,LLM,Transformer",3.0 minutes
1192,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsAttention mechanism,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363234,"NLP,Encoder,LLM,Transformer",2.0 minutes
1193,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsTransformer,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363235,"NLP,Encoder,LLM,Transformer",6.0 minutes
1194,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsBERT,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363236,"NLP,Encoder,LLM,Transformer",5.0 minutes
1195,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsLarge language models,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363237,"NLP,Encoder,LLM,Transformer",8.0 minutes
1196,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsLab introduction: Text Translation using Encoder-decoder Architecture,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363238,"NLP,Encoder,LLM,Transformer",1.0 minutes
1197,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsEncoder decoder,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/labs/363239,"NLP,Encoder,LLM,Transformer",60.0 minutes
1198,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsSummary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363240,"NLP,Encoder,LLM,Transformer",2.0 minutes
