,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
58,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Neural Networks - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/video-lecture,neural network,
59,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Neural Networks - Structure,Easy to Medium,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/anatomy,neural network,
60,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Neural Networks - Playground Exercises,Easy to Medium,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/playground-exercises,neural network,
61,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Neural Networks - Programming Exercise,Easy to Medium,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/programming-exercise,neural network,
62,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Training Neural Networks - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/training-neural-networks/video-lecture,"training, neural network",20.0 minutes
63,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Training Neural Networks - Best Practices,Easy to Medium,https://developers.google.com/machine-learning/crash-course/training-neural-networks/best-practices,"training, neural network",
64,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Multi-class Neural Networks - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/video-lecture,"training, neural network",
65,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Multi-class Neural Networks - One vs. All,Easy to Medium,https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/one-vs-all,"training, neural network",
66,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Multi-class Neural Networks - Softmax,Easy to Medium,https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/softmax,"training, neural network, softmax",
67,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Multi-class Neural Networks - Programming Exercise,Easy to Medium,https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/programming-exercise,"training, neural network",90.0 minutes
68,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Embeddings - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/embeddings/video-lecture,embedding,
69,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Embeddings - Motivation from Collaborative Filtering,Easy to Medium,https://developers.google.com/machine-learning/crash-course/embeddings/motivation-from-collaborative-filtering,"embedding, collaborative filtering",
70,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Embeddings - Categorical Input Data,Easy to Medium,https://developers.google.com/machine-learning/crash-course/embeddings/categorical-input-data,"embedding, categorical data",
71,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Embeddings - Translating to a Lower-Dimensional Space,Easy to Medium,https://developers.google.com/machine-learning/crash-course/embeddings/translating-to-a-lower-dimensional-space,"embedding, low dimensional space",
72,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Embeddings - Obtaining Embeddings,Easy to Medium,https://developers.google.com/machine-learning/crash-course/embeddings/obtaining-embeddings,"embedding, embedding",
73,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Production ML Systems,Medium,https://developers.google.com/machine-learning/crash-course/production-ml-systems,"production, ml system",3.0 minutes
74,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Static versus Dynamic training,Medium,https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-training/video-lecture,"statistic, dynamic, training",7.0 minutes
75,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Static versus Dynamic inferencing,Medium,https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-inference/video-lecture,"statistic, dynamic, inference",7.0 minutes
76,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Data Dependencies,Medium,https://developers.google.com/machine-learning/crash-course/data-dependencies/video-lecture,"data, dependency",14.0 minutes
