Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Overview,4 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node",https://developers.google.com/machine-learning/decision-forests/decision-trees
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Conditions,7 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",https://developers.google.com/machine-learning/decision-forests/conditions
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",https://developers.google.com/machine-learning/decision-forests/decision-trees-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees ?,47 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",https://developers.google.com/machine-learning/decision-forests/growing
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Growing Decision Trees,10 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",https://developers.google.com/machine-learning/decision-forests/growing
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Binary Classification,10 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/binary-classification
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/training-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Overfitting and Pruning,7 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",https://developers.google.com/machine-learning/decision-forests/overfitting-and-pruning
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",https://developers.google.com/machine-learning/decision-forests/overfitting-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Variable Importances,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, variiable importance, feature importance",https://developers.google.com/machine-learning/decision-forests/variable-importances
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,5 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, variable importance, feature importance",https://developers.google.com/machine-learning/decision-forests/variable-importances-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,A Decision Tree Example,5 minutes,Medium to Hard,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/practice
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,A Decision Tree Example: A full example,5 minutes,Medium to Hard,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/practice
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Forests ?,2 minutes,Medium to Hard,"Decision Forests, Random Forest",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Forests : Introduction,2 minutes,Medium to Hard,"Decision Forests, Random Forest",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests ?,22 minutes,Medium to Hard,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Introduction,2 minutes,Medium to Hard,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Random Forests,8 minutes,Medium to Hard,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",https://developers.google.com/machine-learning/decision-forests/random-forests
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Check Your Understanding,5 minutes,Medium to Hard,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",https://developers.google.com/machine-learning/decision-forests/random-forests-mce
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Out-of-bag Evaluation,5 minutes,Medium to Hard,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF",https://developers.google.com/machine-learning/decision-forests/out-of-bag
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Random Forests : Other topics,2 minutes,Medium to Hard,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF, Intrepretation, SHAP, SHapley Additive Explainations",https://developers.google.com/machine-learning/decision-forests/other-topics
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees ?,10 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : Introduction,2 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : The gradient boosting algorithm (optional),3 minutes,Medium to Hard,"Gradient Boosting, Newton's Method",https://developers.google.com/machine-learning/decision-forests/gradient-boosting
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : Overfitting and Regularization,5 minutes,Medium to Hard,"Overfitting, Regularization, Early Stopping, Random Forest, Gradient Boosting, Decision Trees",https://developers.google.com/machine-learning/decision-forests/overfitting-gbdt
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What did you learn ? : Course Summary,2 minutes,Medium to Hard,"Decision Trees, Decision Forests, Random Forest, Overfitting, Pruning, Regularization, Information Gain, Gini, Bagging, Gradient Boosting",https://developers.google.com/machine-learning/decision-forests/summary
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Recommendation Systems,4 hours,Medium to Hard,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Recommendation System, Deep Neural Network, Deep Learning",https://developers.google.com/machine-learning/recommendation
