Course_Learning_Material,Source,Course_Level,Type,Module,Difficulty_Level,Keywords_Tags_Skills_Interests_Categories,Links,Duration_in_minutes
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Neural Networks - Structure,Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/anatomy,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Neural Networks - Playground Exercises,Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/playground-exercises,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Neural Networks - Programming Exercise,Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/programming-exercise,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Training Neural Networks - Video Lecture,Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/training-neural-networks/video-lecture,20
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Training Neural Networks - Best Practices,Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/training-neural-networks/best-practices,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Multi-class Neural Networks - Video Lecture,Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Multi-class Neural Networks - One vs. All,Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/one-vs-all,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Multi-class Neural Networks - Softmax,Medium,"training, neural networks, softmax",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/softmax,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Multi-class Neural Networks - Programming Exercise,Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/programming-exercise,90
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Embeddings - Video Lecture,Medium,embeddings,https://developers.google.com/machine-learning/crash-course/embeddings/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Embeddings - Motivation from Collaborative Filtering,Medium,"embeddings, collaborative filtering",https://developers.google.com/machine-learning/crash-course/embeddings/motivation-from-collaborative-filtering,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Embeddings - Categorical Input Data,Medium,"embeddings, categorical data",https://developers.google.com/machine-learning/crash-course/embeddings/categorical-input-data,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Embeddings - Translating to a Lower-Dimensional Space,Medium,"embeddings, low dimensional space",https://developers.google.com/machine-learning/crash-course/embeddings/translating-to-a-lower-dimensional-space,
